formulation,cycle_number,specific_capacity_mAh_g
Formulation C,160,185.1226
Formulation C,161,183.1545
Formulation C,162,183.878
Formulation C,163,185.2935
Formulation C,164,184.4888
Formulation C,165,183.278
Formulation C,166,183.9632
Formulation C,167,185.232
Formulation C,168,183.9657
Formulation C,169,183.327
Formulation C,170,183.7536
Formulation C,171,184.7213
Formulation C,172,184.6131
Formulation C,173,184.1619
Formulation C,174,184.2929
Formulation C,175,184.5852
Formulation C,176,184.2757
Formulation C,177,183.9579
Formulation C,178,183.0048
Formulation C,179,183.3073
Formulation C,180,183.0516
Formulation C,181,183.1427
Formulation C,182,183.861
Formulation C,183,181.663
Formulation C,184,182.9252
Formulation C,185,184.3851
Formulation C,186,183.9937
Formulation C,187,183.0626
Formulation C,188,183.8456
Formulation C,189,182.3561
Formulation C,190,183.4139
Formulation C,191,182.918
Formulation C,192,183.221
Formulation C,193,182.9739
Formulation C,194,184.0604
Formulation C,195,182.6477
Formulation C,196,181.6246
Formulation C,197,183.1547
Formulation C,198,182.9976
Formulation C,199,182.9412
Formulation C,200,182.8417
Formulation C,201,182.3548
Formulation C,202,181.5344
Formulation C,203,182.4788
Formulation C,204,183.6373
Formulation C,205,182.4003
Formulation C,206,181.0326
Formulation C,207,181.9764
Formulation C,208,182.5308
Formulation C,209,181.681
Formulation C,210,182.853
Formulation C,211,182.7315
Formulation C,212,182.4118
Formulation C,213,182.1608
Formulation C,214,183.4224
Formulation C,215,182.5914
Formulation C,216,182.7761
Formulation C,217,181.747
Formulation C,218,182.7151
Formulation C,219,182.7068
Formulation C,220,182.3304
Formulation C,221,182.3435
Formulation C,222,181.8591
Formulation C,223,182.6017
Formulation C,224,181.1007
Formulation C,225,182.0559
Formulation C,226,180.6996
Formulation C,227,181.5052
Formulation C,228,180.6328
Formulation C,229,181.8233
Formulation C,230,180.39
Formulation C,231,180.612
Formulation C,232,181.1426
Formulation C,233,180.5619
Formulation C,234,181.5512
Formulation C,235,180.845
Formulation C,236,181.151
Formulation C,237,180.8876
Formulation C,238,181.9482
Formulation C,239,181.3323
Formulation C,240,182.0574
Formulation C,241,180.9744
Formulation C,242,180.0583
Formulation C,243,180.6218
Formulation C,244,181.8315
Formulation C,245,181.3084
Formulation C,246,181.0967
Formulation C,247,180.2254
Formulation C,248,179.603
Formulation C,249,180.0586
Formulation C,250,181.553
Formulation C,251,181.3384
Formulation C,252,180.6316
Formulation C,253,180.396
Formulation C,254,179.5147
Formulation C,255,179.7992
Formulation C,256,180.0002
Formulation C,257,178.8722
Formulation C,258,180.8857
Formulation C,259,179.8762
Formulation C,260,181.0123
Formulation C,261,179.1516
Formulation C,262,179.3298
Formulation C,263,178.7545
Formulation C,264,179.4187
Formulation C,265,178.7441
Formulation C,266,178.7506
Formulation C,267,178.6684
Formulation C,268,179.3333
Formulation C,269,178.9864
Formulation C,270,177.3619
Formulation C,271,179.302
Formulation C,272,178.5297
Formulation C,273,179.3814
Formulation C,274,178.7233
Formulation C,275,178.7927
Formulation C,276,178.4409
Formulation C,277,179.8788
Formulation C,278,177.8929
Formulation C,279,179.6591
Formulation C,280,177.6361
Formulation C,281,178.3765
Formulation C,282,179.2251
Formulation C,283,178.3879
Formulation C,284,178.6246
Formulation C,285,178.9055
Formulation C,286,178.9576
Formulation C,287,178.2356
Formulation C,288,176.9389
Formulation C,289,179.1426
Formulation C,290,177.4496
Formulation C,291,176.6413
Formulation C,292,179.0362
Formulation C,293,177.575
Formulation C,294,177.4699
Formulation C,295,177.868
Formulation C,296,178.2049
Formulation C,297,178.1342
Formulation C,298,177.4026
Formulation C,299,177.3446
Formulation C,300,177.7724
Formulation C,301,176.9713
Formulation C,302,177.0093
Formulation C,303,176.7605
Formulation C,304,177.3236
Formulation C,305,176.4636
Formulation C,306,176.7575
Formulation C,307,176.9039
Formulation C,308,177.255
Formulation C,309,176.7613
Formulation C,310,176.0589
Formulation C,311,177.4114
Formulation C,312,177.1741
Formulation C,313,177.0518
Formulation C,314,176.3935
Formulation C,315,175.6155
Formulation C,316,176.4631
Formulation C,317,177.0699
Formulation C,318,176.9465
Formulation C,319,176.0911
Formulation C,320,176.5206
Formulation C,321,176.2336
Formulation C,322,175.5857
Formulation C,323,176.5433
Formulation C,324,176.0148
Formulation C,325,174.3856
Formulation C,326,175.9056
Formulation C,327,175.6368
Formulation C,328,175.6293
Formulation C,329,175.3504
Formulation C,330,174.9187
Formulation C,331,175.1921
Formulation C,332,176.7306
Formulation C,333,175.4007
Formulation C,334,175.7045
Formulation C,335,176.7688
Formulation C,336,174.8692
Formulation C,337,174.8621
Formulation C,338,174.9226
Formulation C,339,174.4676
Formulation C,340,176.3055
Formulation C,341,176.5836
Formulation C,342,174.3329
Formulation C,343,174.9425
Formulation C,344,175.7162
Formulation C,345,175.5234
Formulation C,346,176.1916
Formulation C,347,174.4686
Formulation C,348,173.0607
Formulation C,349,173.8178
Formulation C,350,174.7829
Formulation C,351,174.2927
Formulation C,352,174.8579
Formulation C,353,174.9388
Formulation C,354,174.8224
Formulation C,355,173.3529
Formulation C,356,174.7165
Formulation C,357,173.9631
Formulation C,358,175.0634
Formulation C,359,173.7368
Formulation C,360,174.4354
Formulation C,361,173.451
Formulation C,362,173.5187
Formulation C,363,174.3314
Formulation C,364,174.8533
Formulation C,365,173.758
Formulation C,366,172.8786
Formulation C,367,174.0279
Formulation C,368,173.9254
Formulation C,369,172.6652
Formulation C,370,173.5319
Formulation C,371,172.8917
Formulation C,372,173.3323
Formulation C,373,173.571
Formulation C,374,172.6419
Formulation C,375,172.3131
Formulation C,376,172.7321
Formulation C,377,172.978
Formulation C,378,172.9939
Formulation C,379,172.2214
Formulation C,380,172.4459
Formulation C,381,172.6251
Formulation C,382,172.9735
Formulation C,383,171.4449
Formulation C,384,172.3856
Formulation C,385,172.9931
Formulation C,386,171.4264
Formulation C,387,171.9573
Formulation C,388,173.0009
Formulation C,389,171.9549
Formulation C,390,171.6865
Formulation C,391,171.7119
Formulation C,392,172.3209
Formulation C,393,171.1354
Formulation C,394,171.3688
Formulation C,395,171.7289
Formulation C,396,171.8609
Formulation C,397,172.322
Formulation C,398,171.7
Formulation C,399,171.5594
Formulation C,400,172.7824
Formulation C,401,172.3358
Formulation C,402,172.1508
Formulation C,403,172.4696
Formulation C,404,171.0616
Formulation C,405,169.7487
Formulation C,406,171.9669
Formulation C,407,170.9569
Formulation C,408,170.6616
Formulation C,409,170.4725
Formulation C,410,171.5431
Formulation C,411,170.7801
Formulation C,412,169.4553
Formulation C,413,171.0224
Formulation C,414,171.7134
Formulation C,415,171.0609
Formulation C,416,170.447
Formulation C,417,170.1933
Formulation C,418,171.1623
Formulation C,419,170.0615
Formulation C,420,169.9103
Formulation C,421,168.7919
Formulation C,422,171.1651
Formulation C,423,169.9667
Formulation C,424,170.914
Formulation C,425,171.1164
Formulation C,426,169.7028
Formulation C,427,170.8733
Formulation C,428,169.2651
Formulation C,429,170.6741
Formulation C,430,169.7234
Formulation C,431,170.2314
Formulation C,432,167.9801
Formulation C,433,169.325
Formulation C,434,169.0259
Formulation C,435,168.6258
Formulation C,436,168.6245
Formulation C,437,168.8256
Formulation C,438,168.7047
Formulation C,439,169.5329
Formulation C,440,169.3214
Formulation C,441,168.8459
Formulation C,442,168.8071
Formulation C,443,169.621
Formulation C,444,167.6684
Formulation C,445,168.6832
Formulation C,446,169.45
Formulation C,447,168.8765
Formulation C,448,168.4038
Formulation C,449,168.4096
Formulation C,450,168.3356
Formulation C,451,168.1894
Formulation C,452,167.8837
Formulation C,453,168.4701
Formulation C,454,167.669
Formulation C,455,168.648
Formulation C,456,167.6886
Formulation C,457,166.6395
Formulation C,458,168.1705
Formulation C,459,166.6329
Formulation C,460,167.5655
Formulation C,461,166.8556
Formulation C,462,167.3001
Formulation C,463,166.9483
Formulation C,464,167.5655
Formulation C,465,166.5239
Formulation C,466,168.0973
Formulation C,467,167.5873
Formulation C,468,166.5184
Formulation C,469,167.3015
Formulation C,470,165.9136
Formulation C,471,167.3269
Formulation C,472,167.2589
Formulation C,473,165.8731
Formulation C,474,167.4427
Formulation C,475,167.5921
Formulation C,476,165.8445
Formulation C,477,166.5089
Formulation C,478,165.9697
Formulation C,479,166.1299
Formulation C,480,166.1515
Formulation C,481,164.6764
Formulation C,482,166.0515
Formulation C,483,165.8149
Formulation C,484,165.6429
Formulation C,485,165.0115
Formulation C,486,164.8017
Formulation C,487,166.1177
Formulation C,488,165.4456
Formulation C,489,166.0844
Formulation C,490,165.268
Formulation C,491,165.4589
Formulation C,492,164.9502
Formulation C,493,164.4338
Formulation C,494,164.9223
Formulation C,495,164.681
Formulation C,496,164.4899
Formulation C,497,163.9516
Formulation C,498,165.4387
Formulation C,499,166.0509
Formulation C,500,165.0
