formulation,raman_shift_cm_1,offset_intensity_au
Formulation B,1009.102,0.81468
Formulation B,1009.875,0.81187
Formulation B,1010.647,0.80952
Formulation B,1011.42,0.80763
Formulation B,1012.192,0.80624
Formulation B,1012.965,0.80536
Formulation B,1013.737,0.80501
Formulation B,1014.509,0.80518
Formulation B,1015.282,0.80587
Formulation B,1016.054,0.80708
Formulation B,1016.827,0.80879
Formulation B,1017.599,0.81098
Formulation B,1018.372,0.81363
Formulation B,1019.144,0.8167
Formulation B,1019.916,0.82016
Formulation B,1020.689,0.82397
Formulation B,1021.461,0.82808
Formulation B,1022.234,0.83245
Formulation B,1023.006,0.83703
Formulation B,1023.779,0.84176
Formulation B,1024.551,0.84658
Formulation B,1025.324,0.85144
Formulation B,1026.096,0.85629
Formulation B,1026.868,0.86106
Formulation B,1027.641,0.8657
Formulation B,1028.413,0.87016
Formulation B,1029.186,0.87439
Formulation B,1029.958,0.87833
Formulation B,1030.731,0.88194
Formulation B,1031.503,0.88517
Formulation B,1032.276,0.88799
Formulation B,1033.048,0.89038
Formulation B,1033.82,0.89228
Formulation B,1034.593,0.8937
Formulation B,1035.365,0.8946
Formulation B,1036.138,0.89499
Formulation B,1036.91,0.89484
Formulation B,1037.683,0.89418
Formulation B,1038.455,0.89299
Formulation B,1039.228,0.89131
Formulation B,1040.0,0.88914
Formulation C,670.0,1.74499
Formulation C,670.772,1.74482
Formulation C,671.545,1.74412
Formulation C,672.317,1.74291
Formulation C,673.09,1.7412
Formulation C,673.862,1.739
Formulation C,674.635,1.73635
Formulation C,675.407,1.73328
Formulation C,676.18,1.72982
Formulation C,676.952,1.726
Formulation C,677.724,1.72189
Formulation C,678.497,1.71752
Formulation C,679.269,1.71294
Formulation C,680.042,1.70821
Formulation C,680.814,1.70339
Formulation C,681.587,1.69853
Formulation C,682.359,1.69368
Formulation C,683.132,1.68891
Formulation C,683.904,1.68427
Formulation C,684.676,1.67981
Formulation C,685.449,1.67559
Formulation C,686.221,1.67165
Formulation C,686.994,1.66804
Formulation C,687.766,1.66481
Formulation C,688.539,1.66199
Formulation C,689.311,1.65961
Formulation C,690.084,1.6577
Formulation C,690.856,1.65629
Formulation C,691.628,1.65539
Formulation C,692.401,1.65501
Formulation C,693.173,1.65516
Formulation C,693.946,1.65583
Formulation C,694.718,1.65701
Formulation C,695.491,1.6587
Formulation C,696.263,1.66087
Formulation C,697.035,1.6635
Formulation C,697.808,1.66656
Formulation C,698.58,1.67
Formulation C,699.353,1.6738
Formulation C,700.125,1.6779
Formulation C,700.898,1.68226
Formulation C,701.67,1.68682
Formulation C,702.443,1.69155
Formulation C,703.215,1.69637
Formulation C,703.987,1.70123
Formulation C,704.76,1.70608
Formulation C,705.532,1.71085
Formulation C,706.305,1.7155
Formulation C,707.077,1.71997
Formulation C,707.85,1.72421
Formulation C,708.622,1.72816
Formulation C,709.395,1.73178
Formulation C,710.167,1.73504
Formulation C,710.939,1.73788
Formulation C,711.712,1.74028
Formulation C,712.484,1.74221
Formulation C,713.257,1.74365
Formulation C,714.029,1.74458
Formulation C,714.802,1.74499
Formulation C,715.574,1.74487
Formulation C,716.347,1.74423
Formulation C,717.119,1.74307
Formulation C,717.891,1.74141
Formulation C,718.664,1.73927
Formulation C,719.436,1.73668
Formulation C,720.209,1.73366
Formulation C,720.981,1.73025
Formulation C,721.754,1.72649
Formulation C,722.526,1.72243
Formulation C,723.299,1.71811
Formulation C,724.071,1.7136
Formulation C,724.843,1.70894
Formulation C,725.616,1.70419
Formulation C,726.388,1.69942
Formulation C,727.161,1.69468
Formulation C,727.933,1.69004
Formulation C,728.706,1.68556
Formulation C,729.478,1.68131
Formulation C,730.251,1.67733
Formulation C,731.023,1.67371
Formulation C,731.795,1.67048
Formulation C,732.568,1.66772
Formulation C,733.34,1.66548
Formulation C,734.113,1.66382
Formulation C,734.885,1.66277
Formulation C,735.658,1.66241
Formulation C,736.43,1.66277
Formulation C,737.203,1.66391
Formulation C,737.975,1.66586
Formulation C,738.747,1.66867
Formulation C,739.52,1.67238
Formulation C,740.292,1.67703
Formulation C,741.065,1.68266
Formulation C,741.837,1.6893
Formulation C,742.61,1.697
Formulation C,743.382,1.70578
Formulation C,744.154,1.71567
Formulation C,744.927,1.72672
Formulation C,745.699,1.73894
Formulation C,746.472,1.75236
Formulation C,747.244,1.76701
Formulation C,748.017,1.78289
Formulation C,748.789,1.80002
Formulation C,749.562,1.81841
Formulation C,750.334,1.83805
Formulation C,751.106,1.85892
Formulation C,751.879,1.88101
Formulation C,752.651,1.90426
Formulation C,753.424,1.92865
Formulation C,754.196,1.95408
Formulation C,754.969,1.9805
Formulation C,755.741,2.00778
Formulation C,756.514,2.03582
Formulation C,757.286,2.06448
Formulation C,758.058,2.0936
Formulation C,758.831,2.12301
Formulation C,759.603,2.15251
Formulation C,760.376,2.1819
Formulation C,761.148,2.21096
Formulation C,761.921,2.23946
Formulation C,762.693,2.26714
Formulation C,763.466,2.29377
Formulation C,764.238,2.31909
Formulation C,765.01,2.34285
Formulation C,765.783,2.36481
Formulation C,766.555,2.38473
Formulation C,767.328,2.40241
Formulation C,768.1,2.41763
Formulation C,768.873,2.43023
Formulation C,769.645,2.44005
Formulation C,770.418,2.44697
Formulation C,771.19,2.45092
Formulation C,771.962,2.45182
Formulation C,772.735,2.44968
Formulation C,773.507,2.44451
Formulation C,774.28,2.43638
Formulation C,775.052,2.42539
Formulation C,775.825,2.41165
Formulation C,776.597,2.39536
Formulation C,777.37,2.37668
Formulation C,778.142,2.35586
Formulation C,778.914,2.33313
Formulation C,779.687,2.30876
Formulation C,780.459,2.28302
Formulation C,781.232,2.2562
Formulation C,782.004,2.22858
Formulation C,782.777,2.20044
Formulation C,783.549,2.17208
Formulation C,784.322,2.14374
Formulation C,785.094,2.11568
Formulation C,785.866,2.08814
Formulation C,786.639,2.06133
Formulation C,787.411,2.03543
Formulation C,788.184,2.01061
Formulation C,788.956,1.98699
Formulation C,789.729,1.96469
Formulation C,790.501,1.94377
Formulation C,791.273,1.9243
Formulation C,792.046,1.9063
Formulation C,792.818,1.88977
Formulation C,793.591,1.87468
Formulation C,794.363,1.86099
Formulation C,795.136,1.84865
Formulation C,795.908,1.83757
Formulation C,796.681,1.82767
Formulation C,797.453,1.81886
Formulation C,798.225,1.81102
Formulation C,798.998,1.80405
Formulation C,799.77,1.79784
Formulation C,800.543,1.79228
Formulation C,801.315,1.78726
Formulation C,802.088,1.78267
Formulation C,802.86,1.77843
Formulation C,803.633,1.77443
Formulation C,804.405,1.77061
Formulation C,805.177,1.76689
Formulation C,805.95,1.7632
Formulation C,806.722,1.75951
Formulation C,807.495,1.75577
Formulation C,808.267,1.75194
Formulation C,809.04,1.74803
Formulation C,809.812,1.74401
Formulation C,810.585,1.73989
Formulation C,811.357,1.73569
Formulation C,812.129,1.73142
Formulation C,812.902,1.72712
Formulation C,813.674,1.72283
Formulation C,814.447,1.71858
Formulation C,815.219,1.71443
Formulation C,815.992,1.71043
Formulation C,816.764,1.70664
Formulation C,817.537,1.70311
Formulation C,818.309,1.69993
Formulation C,819.081,1.69713
Formulation C,819.854,1.6948
Formulation C,820.626,1.69299
Formulation C,821.399,1.69176
Formulation C,822.171,1.69118
Formulation C,822.944,1.69129
Formulation C,823.716,1.69216
Formulation C,824.489,1.69383
Formulation C,825.261,1.69634
Formulation C,826.033,1.69972
Formulation C,826.806,1.70402
Formulation C,827.578,1.70925
Formulation C,828.351,1.71544
Formulation C,829.123,1.72258
Formulation C,829.896,1.73069
Formulation C,830.668,1.73976
Formulation C,831.441,1.74978
Formulation C,832.213,1.76072
Formulation C,832.985,1.77256
Formulation C,833.758,1.78526
Formulation C,834.53,1.79878
Formulation C,835.303,1.81307
Formulation C,836.075,1.82807
Formulation C,836.848,1.84371
Formulation C,837.62,1.85993
Formulation C,838.392,1.87664
Formulation C,839.165,1.89377
Formulation C,839.937,1.91122
Formulation C,840.71,1.92891
Formulation C,841.482,1.94673
Formulation C,842.255,1.9646
Formulation C,843.027,1.9824
Formulation C,843.8,2.00005
Formulation C,844.572,2.01744
Formulation C,845.344,2.03446
Formulation C,846.117,2.05102
Formulation C,846.889,2.06702
Formulation C,847.662,2.08237
Formulation C,848.434,2.09697
Formulation C,849.207,2.11073
Formulation C,849.979,2.12358
Formulation C,850.752,2.13545
Formulation C,851.524,2.14625
Formulation C,852.296,2.15594
Formulation C,853.069,2.16446
Formulation C,853.841,2.17176
Formulation C,854.614,2.17782
Formulation C,855.386,2.18261
Formulation C,856.159,2.18611
Formulation C,856.931,2.18832
Formulation C,857.704,2.18923
Formulation C,858.476,2.18888
Formulation C,859.248,2.18727
Formulation C,860.021,2.18445
Formulation C,860.793,2.18046
Formulation C,861.566,2.17534
Formulation C,862.338,2.16915
Formulation C,863.111,2.16197
Formulation C,863.883,2.15386
Formulation C,864.656,2.1449
Formulation C,865.428,2.13517
Formulation C,866.2,2.12476
Formulation C,866.973,2.11376
Formulation C,867.745,2.10226
Formulation C,868.518,2.09035
Formulation C,869.29,2.07812
Formulation C,870.063,2.06566
Formulation C,870.835,2.05306
Formulation C,871.608,2.0404
Formulation C,872.38,2.02776
Formulation C,873.152,2.01522
Formulation C,873.925,2.00285
Formulation C,874.697,1.9907
Formulation C,875.47,1.97883
Formulation C,876.242,1.9673
Formulation C,877.015,1.95614
Formulation C,877.787,1.94539
Formulation C,878.559,1.93506
Formulation C,879.332,1.92519
Formulation C,880.104,1.91578
Formulation C,880.877,1.90683
Formulation C,881.649,1.89834
Formulation C,882.422,1.89029
Formulation C,883.194,1.88266
Formulation C,883.967,1.87545
Formulation C,884.739,1.8686
Formulation C,885.511,1.8621
Formulation C,886.284,1.8559
Formulation C,887.056,1.84998
Formulation C,887.829,1.84427
Formulation C,888.601,1.83876
Formulation C,889.374,1.83339
Formulation C,890.146,1.82812
Formulation C,890.919,1.82292
Formulation C,891.691,1.81774
Formulation C,892.463,1.81255
Formulation C,893.236,1.80733
Formulation C,894.008,1.80203
Formulation C,894.781,1.79665
Formulation C,895.553,1.79116
Formulation C,896.326,1.78554
Formulation C,897.098,1.77979
Formulation C,897.871,1.77391
Formulation C,898.643,1.7679
Formulation C,899.415,1.76177
Formulation C,900.188,1.75553
Formulation C,900.96,1.7492
Formulation C,901.733,1.7428
Formulation C,902.505,1.73637
Formulation C,903.278,1.72992
Formulation C,904.05,1.72351
Formulation C,904.823,1.71715
Formulation C,905.595,1.71091
Formulation C,906.367,1.70481
Formulation C,907.14,1.6989
Formulation C,907.912,1.69323
Formulation C,908.685,1.68784
Formulation C,909.457,1.68278
Formulation C,910.23,1.67808
Formulation C,911.002,1.67379
Formulation C,911.775,1.66994
Formulation C,912.547,1.66659
Formulation C,913.319,1.66375
Formulation C,914.092,1.66146
Formulation C,914.864,1.65974
Formulation C,915.637,1.65863
Formulation C,916.409,1.65815
Formulation C,917.182,1.6583
Formulation C,917.954,1.6591
Formulation C,918.727,1.66057
Formulation C,919.499,1.66271
Formulation C,920.271,1.66553
Formulation C,921.044,1.66902
Formulation C,921.816,1.67319
Formulation C,922.589,1.67803
Formulation C,923.361,1.68354
Formulation C,924.134,1.68972
Formulation C,924.906,1.69656
Formulation C,925.678,1.70404
Formulation C,926.451,1.71216
Formulation C,927.223,1.72091
Formulation C,927.996,1.73027
Formulation C,928.768,1.74024
Formulation C,929.541,1.75079
Formulation C,930.313,1.7619
Formulation C,931.086,1.77355
Formulation C,931.858,1.78571
Formulation C,932.63,1.79836
Formulation C,933.403,1.81145
Formulation C,934.175,1.82493
Formulation C,934.948,1.83875
Formulation C,935.72,1.85286
Formulation C,936.493,1.86717
Formulation C,937.265,1.88161
Formulation C,938.038,1.8961
Formulation C,938.81,1.91052
Formulation C,939.582,1.92478
Formulation C,940.355,1.93875
Formulation C,941.127,1.95232
Formulation C,941.9,1.96535
Formulation C,942.672,1.97772
Formulation C,943.445,1.98928
Formulation C,944.217,1.99991
Formulation C,944.99,2.00948
Formulation C,945.762,2.01786
Formulation C,946.534,2.02494
Formulation C,947.307,2.03062
Formulation C,948.079,2.03482
Formulation C,948.852,2.03746
Formulation C,949.624,2.03849
Formulation C,950.397,2.03789
Formulation C,951.169,2.03565
Formulation C,951.942,2.03179
Formulation C,952.714,2.02635
Formulation C,953.486,2.0194
Formulation C,954.259,2.01103
Formulation C,955.031,2.00134
Formulation C,955.804,1.99046
Formulation C,956.576,1.97854
Formulation C,957.349,1.96574
Formulation C,958.121,1.95223
Formulation C,958.894,1.93819
Formulation C,959.666,1.92379
Formulation C,960.438,1.90921
Formulation C,961.211,1.89464
Formulation C,961.983,1.88023
Formulation C,962.756,1.86616
Formulation C,963.528,1.85256
Formulation C,964.301,1.83957
Formulation C,965.073,1.82729
Formulation C,965.846,1.81583
Formulation C,966.618,1.80526
Formulation C,967.39,1.79562
Formulation C,968.163,1.78697
Formulation C,968.935,1.77931
Formulation C,969.708,1.77264
Formulation C,970.48,1.76693
Formulation C,971.253,1.76216
Formulation C,972.025,1.75827
Formulation C,972.797,1.75519
Formulation C,973.57,1.75285
Formulation C,974.342,1.75118
Formulation C,975.115,1.75007
Formulation C,975.887,1.74945
Formulation C,976.66,1.74922
Formulation C,977.432,1.74928
Formulation C,978.205,1.74954
Formulation C,978.977,1.74991
Formulation C,979.749,1.75031
Formulation C,980.522,1.75067
Formulation C,981.294,1.7509
Formulation C,982.067,1.75095
Formulation C,982.839,1.75075
Formulation C,983.612,1.75027
Formulation C,984.384,1.74946
Formulation C,985.157,1.74829
Formulation C,985.929,1.74674
Formulation C,986.701,1.74481
Formulation C,987.474,1.74248
Formulation C,988.246,1.73977
Formulation C,989.019,1.73668
Formulation C,989.791,1.73324
Formulation C,990.564,1.72947
Formulation C,991.336,1.7254
Formulation C,992.109,1.72108
Formulation C,992.881,1.71654
Formulation C,993.653,1.71184
Formulation C,994.426,1.70702
Formulation C,995.198,1.70213
Formulation C,995.971,1.69723
Formulation C,996.743,1.69237
Formulation C,997.516,1.68761
Formulation C,998.288,1.683
Formulation C,999.061,1.67859
Formulation C,999.833,1.67443
Formulation C,1000.605,1.67058
Formulation C,1001.378,1.66707
Formulation C,1002.15,1.66395
Formulation C,1002.923,1.66126
Formulation C,1003.695,1.65901
Formulation C,1004.468,1.65725
Formulation C,1005.24,1.65598
Formulation C,1006.013,1.65523
Formulation C,1006.785,1.655
Formulation C,1007.557,1.6553
Formulation C,1008.33,1.65612
Formulation C,1009.102,1.65746
Formulation C,1009.875,1.65929
Formulation C,1010.647,1.66159
Formulation C,1011.42,1.66435
Formulation C,1012.192,1.66752
Formulation C,1012.965,1.67107
Formulation C,1013.737,1.67496
Formulation C,1014.509,1.67914
Formulation C,1015.282,1.68357
Formulation C,1016.054,1.68819
Formulation C,1016.827,1.69294
Formulation C,1017.599,1.69778
Formulation C,1018.372,1.70264
Formulation C,1019.144,1.70748
Formulation C,1019.916,1.71222
Formulation C,1020.689,1.71682
Formulation C,1021.461,1.72123
Formulation C,1022.234,1.72539
Formulation C,1023.006,1.72925
Formulation C,1023.779,1.73277
Formulation C,1024.551,1.73591
Formulation C,1025.324,1.73863
Formulation C,1026.096,1.74089
Formulation C,1026.868,1.74268
Formulation C,1027.641,1.74397
Formulation C,1028.413,1.74475
Formulation C,1029.186,1.745
Formulation C,1029.958,1.74473
Formulation C,1030.731,1.74393
Formulation C,1031.503,1.74262
Formulation C,1032.276,1.74082
Formulation C,1033.048,1.73854
Formulation C,1033.82,1.7358
Formulation C,1034.593,1.73265
Formulation C,1035.365,1.72912
Formulation C,1036.138,1.72524
Formulation C,1036.91,1.72108
Formulation C,1037.683,1.71666
Formulation C,1038.455,1.71205
Formulation C,1039.228,1.7073
Formulation C,1040.0,1.70247
Formulation D,670.0,2.57501
Formulation D,670.772,2.57083
Formulation D,671.545,2.5664
Formulation D,672.317,2.56178
Formulation D,673.09,2.55703
Formulation D,673.862,2.55219
Formulation D,674.635,2.54732
Formulation D,675.407,2.54249
Formulation D,676.18,2.53775
Formulation D,676.952,2.53315
Formulation D,677.724,2.52874
Formulation D,678.497,2.52458
Formulation D,679.269,2.52072
Formulation D,680.042,2.51721
Formulation D,680.814,2.51407
Formulation D,681.587,2.51136
Formulation D,682.359,2.50909
Formulation D,683.132,2.50731
Formulation D,683.904,2.50602
Formulation D,684.676,2.50525
Formulation D,685.449,2.505
Formulation D,686.221,2.50528
Formulation D,686.994,2.50607
Formulation D,687.766,2.50739
Formulation D,688.539,2.5092
Formulation D,689.311,2.51148
Formulation D,690.084,2.51422
Formulation D,690.856,2.51737
Formulation D,691.628,2.52091
Formulation D,692.401,2.52478
Formulation D,693.173,2.52895
Formulation D,693.946,2.53337
Formulation D,694.718,2.53798
Formulation D,695.491,2.54273
Formulation D,696.263,2.54756
Formulation D,697.035,2.55243
Formulation D,697.808,2.55726
Formulation D,698.58,2.56202
Formulation D,699.353,2.56663
Formulation D,700.125,2.57104
Formulation D,700.898,2.57521
Formulation D,701.67,2.57909
Formulation D,702.443,2.58262
Formulation D,703.215,2.58578
Formulation D,703.987,2.58852
Formulation D,704.76,2.5908
Formulation D,705.532,2.59261
Formulation D,706.305,2.59392
Formulation D,707.077,2.59472
Formulation D,707.85,2.595
Formulation D,708.622,2.59475
Formulation D,709.395,2.59398
Formulation D,710.167,2.59269
Formulation D,710.939,2.59091
Formulation D,711.712,2.58865
Formulation D,712.484,2.58593
Formulation D,713.257,2.5828
Formulation D,714.029,2.57928
Formulation D,714.802,2.57542
Formulation D,715.574,2.57127
Formulation D,716.347,2.56686
Formulation D,717.119,2.56226
Formulation D,717.891,2.55751
Formulation D,718.664,2.55268
Formulation D,719.436,2.54782
Formulation D,720.209,2.54298
Formulation D,720.981,2.53823
Formulation D,721.754,2.53361
Formulation D,722.526,2.52918
Formulation D,723.299,2.525
Formulation D,724.071,2.52111
Formulation D,724.843,2.51756
Formulation D,725.616,2.51439
Formulation D,726.388,2.51164
Formulation D,727.161,2.50933
Formulation D,727.933,2.50751
Formulation D,728.706,2.50619
Formulation D,729.478,2.50538
Formulation D,730.251,2.5051
Formulation D,731.023,2.50535
Formulation D,731.795,2.50614
Formulation D,732.568,2.50745
Formulation D,733.34,2.50928
Formulation D,734.113,2.5116
Formulation D,734.885,2.51439
Formulation D,735.658,2.51764
Formulation D,736.43,2.5213
Formulation D,737.203,2.52535
Formulation D,737.975,2.52975
Formulation D,738.747,2.53446
Formulation D,739.52,2.53944
Formulation D,740.292,2.54465
Formulation D,741.065,2.55006
Formulation D,741.837,2.55564
Formulation D,742.61,2.56133
Formulation D,743.382,2.56712
Formulation D,744.154,2.57298
Formulation D,744.927,2.57889
Formulation D,745.699,2.58484
Formulation D,746.472,2.59082
Formulation D,747.244,2.59682
Formulation D,748.017,2.60287
Formulation D,748.789,2.60897
Formulation D,749.562,2.61516
Formulation D,750.334,2.62147
Formulation D,751.106,2.62795
Formulation D,751.879,2.63466
Formulation D,752.651,2.64166
Formulation D,753.424,2.64901
Formulation D,754.196,2.6568
Formulation D,754.969,2.66512
Formulation D,755.741,2.67404
Formulation D,756.514,2.68366
Formulation D,757.286,2.69407
Formulation D,758.058,2.70535
Formulation D,758.831,2.71759
Formulation D,759.603,2.73086
Formulation D,760.376,2.74523
Formulation D,761.148,2.76075
Formulation D,761.921,2.77746
Formulation D,762.693,2.79537
Formulation D,763.466,2.8145
Formulation D,764.238,2.83481
Formulation D,765.01,2.85627
Formulation D,765.783,2.87882
Formulation D,766.555,2.90234
Formulation D,767.328,2.92674
Formulation D,768.1,2.95187
Formulation D,768.873,2.97755
Formulation D,769.645,3.00361
Formulation D,770.418,3.02983
Formulation D,771.19,3.05599
Formulation D,771.962,3.08185
Formulation D,772.735,3.10715
Formulation D,773.507,3.13164
Formulation D,774.28,3.15506
Formulation D,775.052,3.17716
Formulation D,775.825,3.19769
Formulation D,776.597,3.2164
Formulation D,777.37,3.23308
Formulation D,778.142,3.24754
Formulation D,778.914,3.25959
Formulation D,779.687,3.2691
Formulation D,780.459,3.27594
Formulation D,781.232,3.28003
Formulation D,782.004,3.28133
Formulation D,782.777,3.27982
Formulation D,783.549,3.27552
Formulation D,784.322,3.26849
Formulation D,785.094,3.25882
Formulation D,785.866,3.24662
Formulation D,786.639,3.23204
Formulation D,787.411,3.21525
Formulation D,788.184,3.19644
Formulation D,788.956,3.17582
Formulation D,789.729,3.1536
Formulation D,790.501,3.13001
Formulation D,791.273,3.10528
Formulation D,792.046,3.07963
Formulation D,792.818,3.05331
Formulation D,793.591,3.02652
Formulation D,794.363,2.99948
Formulation D,795.136,2.97238
Formulation D,795.908,2.9454
Formulation D,796.681,2.91872
Formulation D,797.453,2.89248
Formulation D,798.225,2.8668
Formulation D,798.998,2.84182
Formulation D,799.77,2.81762
Formulation D,800.543,2.79428
Formulation D,801.315,2.77186
Formulation D,802.088,2.75043
Formulation D,802.86,2.73001
Formulation D,803.633,2.71063
Formulation D,804.405,2.69232
Formulation D,805.177,2.67507
Formulation D,805.95,2.65889
Formulation D,806.722,2.64379
Formulation D,807.495,2.62975
Formulation D,808.267,2.61677
Formulation D,809.04,2.60484
Formulation D,809.812,2.59396
Formulation D,810.585,2.58411
Formulation D,811.357,2.5753
Formulation D,812.129,2.56752
Formulation D,812.902,2.56076
Formulation D,813.674,2.55503
Formulation D,814.447,2.55033
Formulation D,815.219,2.54666
Formulation D,815.992,2.54402
Formulation D,816.764,2.54242
Formulation D,817.537,2.54186
Formulation D,818.309,2.54235
Formulation D,819.081,2.54388
Formulation D,819.854,2.54645
Formulation D,820.626,2.55007
Formulation D,821.399,2.55472
Formulation D,822.171,2.5604
Formulation D,822.944,2.56709
Formulation D,823.716,2.57477
Formulation D,824.489,2.58343
Formulation D,825.261,2.59303
Formulation D,826.033,2.60355
Formulation D,826.806,2.61494
Formulation D,827.578,2.62716
Formulation D,828.351,2.64016
Formulation D,829.123,2.65389
Formulation D,829.896,2.66829
Formulation D,830.668,2.6833
Formulation D,831.441,2.69884
Formulation D,832.213,2.71485
Formulation D,832.985,2.73124
Formulation D,833.758,2.74794
Formulation D,834.53,2.76486
Formulation D,835.303,2.78191
Formulation D,836.075,2.79902
Formulation D,836.848,2.81608
Formulation D,837.62,2.83301
Formulation D,838.392,2.84972
Formulation D,839.165,2.86612
Formulation D,839.937,2.88211
Formulation D,840.71,2.89762
Formulation D,841.482,2.91256
Formulation D,842.255,2.92685
Formulation D,843.027,2.94041
Formulation D,843.8,2.95318
Formulation D,844.572,2.96507
Formulation D,845.344,2.97603
Formulation D,846.117,2.98602
Formulation D,846.889,2.99497
Formulation D,847.662,3.00284
Formulation D,848.434,3.00961
Formulation D,849.207,3.01525
Formulation D,849.979,3.01975
Formulation D,850.752,3.02308
Formulation D,851.524,3.02525
Formulation D,852.296,3.02628
Formulation D,853.069,3.02617
Formulation D,853.841,3.02495
Formulation D,854.614,3.02264
Formulation D,855.386,3.0193
Formulation D,856.159,3.01497
Formulation D,856.931,3.00969
Formulation D,857.704,3.00352
Formulation D,858.476,2.99654
Formulation D,859.248,2.9888
Formulation D,860.021,2.98037
Formulation D,860.793,2.97134
Formulation D,861.566,2.96177
Formulation D,862.338,2.95175
Formulation D,863.111,2.94135
Formulation D,863.883,2.93064
Formulation D,864.656,2.9197
Formulation D,865.428,2.9086
Formulation D,866.2,2.89742
Formulation D,866.973,2.88621
Formulation D,867.745,2.87503
Formulation D,868.518,2.86395
Formulation D,869.29,2.85301
Formulation D,870.063,2.84226
Formulation D,870.835,2.83173
Formulation D,871.608,2.82145
Formulation D,872.38,2.81145
Formulation D,873.152,2.80175
Formulation D,873.925,2.79237
Formulation D,874.697,2.78329
Formulation D,875.47,2.77453
Formulation D,876.242,2.76608
Formulation D,877.015,2.75792
Formulation D,877.787,2.75004
Formulation D,878.559,2.74242
Formulation D,879.332,2.73504
Formulation D,880.104,2.72787
Formulation D,880.877,2.72088
Formulation D,881.649,2.71404
Formulation D,882.422,2.70732
Formulation D,883.194,2.70069
Formulation D,883.967,2.69412
Formulation D,884.739,2.68758
Formulation D,885.511,2.68105
Formulation D,886.284,2.6745
Formulation D,887.056,2.66792
Formulation D,887.829,2.66128
Formulation D,888.601,2.65457
Formulation D,889.374,2.64778
Formulation D,890.146,2.64092
Formulation D,890.919,2.63398
Formulation D,891.691,2.62696
Formulation D,892.463,2.61988
Formulation D,893.236,2.61275
Formulation D,894.008,2.60559
Formulation D,894.781,2.59842
Formulation D,895.553,2.59128
Formulation D,896.326,2.58418
Formulation D,897.098,2.57717
Formulation D,897.871,2.57028
Formulation D,898.643,2.56355
Formulation D,899.415,2.55702
Formulation D,900.188,2.55073
Formulation D,900.96,2.54472
Formulation D,901.733,2.53902
Formulation D,902.505,2.53369
Formulation D,903.278,2.52875
Formulation D,904.05,2.52424
Formulation D,904.823,2.52019
Formulation D,905.595,2.51663
Formulation D,906.367,2.51359
Formulation D,907.14,2.51109
Formulation D,907.912,2.50915
Formulation D,908.685,2.50777
Formulation D,909.457,2.50696
Formulation D,910.23,2.50673
Formulation D,911.002,2.50707
Formulation D,911.775,2.50798
Formulation D,912.547,2.50943
Formulation D,913.319,2.51141
Formulation D,914.092,2.51391
Formulation D,914.864,2.51688
Formulation D,915.637,2.52031
Formulation D,916.409,2.52416
Formulation D,917.182,2.52838
Formulation D,917.954,2.53296
Formulation D,918.727,2.53783
Formulation D,919.499,2.54298
Formulation D,920.271,2.54835
Formulation D,921.044,2.55391
Formulation D,921.816,2.55963
Formulation D,922.589,2.56547
Formulation D,923.361,2.57141
Formulation D,924.134,2.57741
Formulation D,924.906,2.58347
Formulation D,925.678,2.58956
Formulation D,926.451,2.59568
Formulation D,927.223,2.60183
Formulation D,927.996,2.608
Formulation D,928.768,2.61421
Formulation D,929.541,2.62047
Formulation D,930.313,2.6268
Formulation D,931.086,2.63322
Formulation D,931.858,2.63977
Formulation D,932.63,2.64647
Formulation D,933.403,2.65334
Formulation D,934.175,2.66042
Formulation D,934.948,2.66774
Formulation D,935.72,2.67532
Formulation D,936.493,2.68317
Formulation D,937.265,2.69131
Formulation D,938.038,2.69974
Formulation D,938.81,2.70845
Formulation D,939.582,2.71743
Formulation D,940.355,2.72664
Formulation D,941.127,2.73605
Formulation D,941.9,2.74559
Formulation D,942.672,2.75521
Formulation D,943.445,2.76483
Formulation D,944.217,2.77436
Formulation D,944.99,2.78371
Formulation D,945.762,2.79278
Formulation D,946.534,2.80145
Formulation D,947.307,2.80962
Formulation D,948.079,2.81718
Formulation D,948.852,2.82403
Formulation D,949.624,2.83006
Formulation D,950.397,2.83519
Formulation D,951.169,2.83934
Formulation D,951.942,2.84243
Formulation D,952.714,2.84443
Formulation D,953.486,2.84529
Formulation D,954.259,2.845
Formulation D,955.031,2.84355
Formulation D,955.804,2.84099
Formulation D,956.576,2.83733
Formulation D,957.349,2.83264
Formulation D,958.121,2.82699
Formulation D,958.894,2.82047
Formulation D,959.666,2.81317
Formulation D,960.438,2.80519
Formulation D,961.211,2.79665
Formulation D,961.983,2.78766
Formulation D,962.756,2.77834
Formulation D,963.528,2.7688
Formulation D,964.301,2.75914
Formulation D,965.073,2.74947
Formulation D,965.846,2.73987
Formulation D,966.618,2.73043
Formulation D,967.39,2.72121
Formulation D,968.163,2.71227
Formulation D,968.935,2.70364
Formulation D,969.708,2.69537
Formulation D,970.48,2.68745
Formulation D,971.253,2.6799
Formulation D,972.025,2.67271
Formulation D,972.797,2.66586
Formulation D,973.57,2.65932
Formulation D,974.342,2.65307
Formulation D,975.115,2.64706
Formulation D,975.887,2.64126
Formulation D,976.66,2.63563
Formulation D,977.432,2.63013
Formulation D,978.205,2.62472
Formulation D,978.977,2.61935
Formulation D,979.749,2.61401
Formulation D,980.522,2.60866
Formulation D,981.294,2.60328
Formulation D,982.067,2.59787
