selection,normalized_state,two_theta_deg,relative_intensity_au
Late,0.92,43.6154,0.069602
Late,0.92,43.7391,0.06749
Late,0.92,43.8629,0.065296
Late,0.92,43.9866,0.063056
Late,0.92,44.1104,0.060807
Late,0.92,44.2341,0.058586
Late,0.92,44.3579,0.05643
Late,0.92,44.4816,0.054377
Late,0.92,44.6054,0.052465
Late,0.92,44.7291,0.05074
Late,0.92,44.8528,0.049267
Late,0.92,44.9766,0.04816
Late,0.92,45.1003,0.047638
Late,0.92,45.2241,0.048128
Late,0.92,45.3478,0.05041
Late,0.92,45.4716,0.055801
Late,0.92,45.5953,0.06631
Late,0.92,45.7191,0.084635
Late,0.92,45.8428,0.113848
Late,0.92,45.9666,0.156644
Late,0.92,46.0903,0.21417
Late,0.92,46.214,0.284719
Late,0.92,46.3378,0.362839
Late,0.92,46.4615,0.439452
Late,0.92,46.5853,0.50334
Late,0.92,46.709,0.543802
Late,0.92,46.8328,0.553639
Late,0.92,46.9565,0.531338
Late,0.92,47.0803,0.481534
Late,0.92,47.204,0.413559
Late,0.92,47.3278,0.338697
Late,0.92,47.4515,0.267238
Late,0.92,47.5753,0.206376
Late,0.92,47.699,0.159462
Late,0.92,47.8227,0.126494
Late,0.92,47.9465,0.105301
Late,0.92,48.0702,0.092836
Late,0.92,48.194,0.086138
Late,0.92,48.3177,0.082845
Late,0.92,48.4415,0.081324
Late,0.92,48.5652,0.080571
Late,0.92,48.689,0.080028
Late,0.92,48.8127,0.079418
Late,0.92,48.9365,0.078618
Late,0.92,49.0602,0.077586
Late,0.92,49.1839,0.076316
Late,0.92,49.3077,0.074821
Late,0.92,49.4314,0.073124
Late,0.92,49.5552,0.071251
Late,0.92,49.6789,0.069234
Late,0.92,49.8027,0.067105
Late,0.92,49.9264,0.0649
Late,0.92,50.0502,0.062655
Late,0.92,50.1739,0.060408
Late,0.92,50.2977,0.058196
Late,0.92,50.4214,0.056054
Late,0.92,50.5452,0.05402
Late,0.92,50.6689,0.052125
Late,0.92,50.7926,0.050402
Late,0.92,50.9164,0.048879
Late,0.92,51.0401,0.047582
Late,0.92,51.1639,0.046531
Late,0.92,51.2876,0.045744
Late,0.92,51.4114,0.045235
Late,0.92,51.5351,0.045011
Late,0.92,51.6589,0.045076
Late,0.92,51.7826,0.04543
Late,0.92,51.9064,0.046066
Late,0.92,52.0301,0.046973
Late,0.92,52.1538,0.048138
Late,0.92,52.2776,0.04954
Late,0.92,52.4013,0.051156
Late,0.92,52.5251,0.05296
Late,0.92,52.6488,0.054922
Late,0.92,52.7726,0.057009
Late,0.92,52.8963,0.059187
Late,0.92,53.0201,0.06142
Late,0.92,53.1438,0.06367
Late,0.92,53.2676,0.065901
Late,0.92,53.3913,0.068076
Late,0.92,53.5151,0.070159
Late,0.92,53.6388,0.072115
Late,0.92,53.7625,0.073912
Late,0.92,53.8863,0.075521
Late,0.92,54.01,0.076914
Late,0.92,54.1338,0.078068
Late,0.92,54.2575,0.078965
Late,0.92,54.3813,0.07959
Late,0.92,54.505,0.079932
Late,0.92,54.6288,0.079986
Late,0.92,54.7525,0.07975
Late,0.92,54.8763,0.079229
Late,0.92,55.0,0.078432
